user_id,start_date,end_date,plan_type
user_12400,2023-09-07,2023-10-06,premium
user_8678,2023-08-30,2023-09-28,basic
user_11586,2023-11-03,2023-12-02,premium
user_19058,2023-10-26,2023-11-24,basic
user_8356,2023-04-21,2023-05-20,basic
user_16652,2023-10-14,2023-11-12,pro
user_23182,2023-10-23,2023-11-21,premium
user_22744,2023-05-17,2023-06-15,basic
user_9287,2023-06-18,2023-07-17,premium
user_364,2023-12-07,2024-01-05,premium
user_20414,2023-09-28,2023-10-27,premium
user_11900,2023-12-11,2024-01-09,premium
user_26904,2023-12-03,2024-01-01,premium
user_23603,2023-04-24,2023-05-23,premium
user_12757,2023-11-16,2023-12-15,basic
user_9090,2023-10-05,2023-11-03,pro
user_25369,2023-08-08,2023-09-06,premium
user_2080,2023-07-07,2023-08-05,pro
user_18365,2023-11-25,2023-12-24,premium
user_3834,2023-11-07,2023-12-06,premium
user_12275,2023-04-08,2023-05-07,pro
user_10020,2023-08-15,2023-09-13,premium
user_28952,2023-06-12,2023-07-11,premium
user_20007,2023-10-19,2023-11-17,pro
user_3738,2023-11-02,2023-12-01,premium
user_12040,2023-12-11,2024-01-09,basic
user_22194,2023-08-23,2023-09-21,basic
user_28044,2023-08-04,2023-09-02,pro
user_20156,2023-05-28,2023-06-26,basic
user_19541,2023-02-11,2023-03-12,pro
user_26993,2023-04-07,2023-05-06,pro
user_16575,2023-12-16,2024-01-14,pro
user_3430,2023-12-24,2024-01-22,premium
user_21063,2023-10-09,2023-11-07,pro
user_20500,2023-12-19,2024-01-17,premium
user_23985,2023-09-28,2023-10-27,premium
user_22525,2023-07-31,2023-08-29,basic
user_29489,2023-07-05,2023-08-03,basic
user_13681,2023-07-27,2023-08-25,pro
user_26146,2023-09-06,2023-10-05,basic
user_3653,2023-07-01,2023-07-30,premium
user_25292,2023-03-25,2023-04-23,pro
user_7960,2023-10-07,2023-11-05,premium
user_1583,2023-06-28,2023-07-27,premium
user_11343,2023-10-10,2023-11-08,pro
user_3255,2023-07-09,2023-08-07,basic
user_14387,2023-10-06,2023-11-04,basic
user_27041,2023-12-22,2024-01-20,premium
user_11735,2023-10-15,2023-11-13,basic
user_15271,2023-07-16,2023-08-14,pro
user_27227,2023-04-12,2023-05-11,pro
user_18573,2023-10-05,2023-11-03,premium
user_18926,2023-09-22,2023-10-21,premium
user_19648,2023-12-23,2024-01-21,pro
user_28025,2023-10-01,2023-10-30,basic
user_21024,2023-10-02,2023-10-31,basic
user_18029,2023-09-24,2023-10-23,basic
user_13752,2023-10-19,2023-11-17,basic
user_18567,2023-08-16,2023-09-14,premium
user_24981,2023-05-08,2023-06-06,pro
user_25624,2023-11-13,2023-12-12,premium
user_5769,2023-11-25,2023-12-24,pro
user_26052,2023-09-18,2023-10-17,pro
user_8292,2023-10-05,2023-11-03,pro
user_18955,2023-04-23,2023-05-22,pro
user_20801,2023-08-29,2023-09-27,pro
user_8194,2023-12-07,2024-01-05,basic
user_5237,2023-08-06,2023-09-04,basic
user_29009,2023-09-19,2023-10-18,pro
user_8138,2023-05-24,2023-06-22,basic
user_20902,2023-01-27,2023-02-25,basic
user_755,2023-06-11,2023-07-10,pro
user_14167,2023-10-26,2023-11-24,pro
user_23061,2023-08-22,2023-09-20,pro
user_5166,2023-05-17,2023-06-15,pro
user_11738,2023-11-27,2023-12-26,basic
user_27442,2023-05-02,2023-05-31,pro
user_27733,2023-11-29,2023-12-28,basic
user_13471,2023-08-25,2023-09-23,pro
user_15643,2023-02-05,2023-03-06,pro
user_28565,2023-12-25,2024-01-23,basic
user_19842,2023-09-26,2023-10-25,premium
user_25293,2023-12-01,2023-12-30,pro
user_29489,2023-05-22,2023-06-20,basic
user_15574,2023-04-10,2023-05-09,premium
user_22166,2023-10-01,2023-10-30,pro
user_6439,2023-11-04,2023-12-03,premium
user_8520,2023-03-27,2023-04-25,basic
user_26143,2023-12-28,2024-01-26,premium
user_16872,2023-04-01,2023-04-30,basic
user_17392,2023-12-22,2024-01-20,premium
user_17015,2023-05-09,2023-06-07,premium
user_11996,2023-11-08,2023-12-07,basic
user_28059,2023-09-14,2023-10-13,premium
user_3330,2023-12-19,2024-01-17,premium
user_27440,2023-05-16,2023-06-14,premium
user_6327,2023-12-06,2024-01-04,premium
user_7637,2023-10-20,2023-11-18,basic
user_11254,2023-08-09,2023-09-07,pro
user_8711,2023-03-23,2023-04-21,premium
user_15904,2023-12-17,2024-01-15,premium
user_17073,2023-10-07,2023-11-05,basic
user_3890,2023-06-04,2023-07-03,premium
user_257,2023-10-06,2023-11-04,pro
user_24895,2023-11-07,2023-12-06,pro
user_4339,2023-07-14,2023-08-12,basic
user_14196,2023-10-04,2023-11-02,basic
user_29146,2023-11-02,2023-12-01,premium
user_10829,2023-11-04,2023-12-03,premium
user_22103,2023-09-09,2023-10-08,premium
user_16618,2023-07-13,2023-08-11,basic
user_13732,2023-12-10,2024-01-08,pro
user_4534,2023-04-09,2023-05-08,basic
user_29541,2023-05-03,2023-06-01,pro
user_10283,2023-08-01,2023-08-30,basic
user_25746,2023-09-01,2023-09-30,premium
user_862,2023-11-24,2023-12-23,pro
user_27065,2023-10-26,2023-11-24,pro
user_17072,2023-07-22,2023-08-20,pro
user_17983,2023-06-13,2023-07-12,basic
user_7530,2023-11-26,2023-12-25,basic
user_7083,2023-06-18,2023-07-17,basic
user_8815,2023-09-18,2023-10-17,basic
user_19402,2023-06-15,2023-07-14,pro
user_12401,2023-07-03,2023-08-01,premium
user_25829,2023-12-20,2024-01-18,basic
user_9838,2023-10-22,2023-11-20,pro
user_13353,2023-06-01,2023-06-30,pro
user_18944,2023-06-20,2023-07-19,premium
user_5895,2023-05-25,2023-06-23,premium
user_5843,2023-12-23,2024-01-21,pro
user_21971,2023-11-30,2023-12-29,basic
user_24846,2023-11-05,2023-12-04,basic
user_21177,2023-09-29,2023-10-28,pro
user_29991,2023-08-28,2023-09-26,premium
user_1550,2023-12-05,2024-01-03,premium
user_5257,2023-04-21,2023-05-20,basic
user_17298,2023-06-27,2023-07-26,pro
user_14078,2023-07-25,2023-08-23,pro
user_13608,2023-11-12,2023-12-11,pro
user_556,2023-08-27,2023-09-25,premium
user_17151,2023-06-28,2023-07-27,basic
user_7182,2023-06-25,2023-07-24,basic
user_6110,2023-08-20,2023-09-18,basic
user_20543,2023-10-15,2023-11-13,basic
user_27876,2023-03-27,2023-04-25,premium
user_24352,2023-12-18,2024-01-16,premium
user_12748,2023-08-19,2023-09-17,premium
user_5798,2023-06-24,2023-07-23,pro
user_15231,2023-09-06,2023-10-05,basic
user_25634,2023-08-11,2023-09-09,pro
user_5211,2023-12-07,2024-01-05,basic
user_4366,2023-08-21,2023-09-19,pro
user_3534,2023-09-24,2023-10-23,pro
user_19789,2023-03-10,2023-04-08,basic
user_8490,2023-07-02,2023-07-31,basic
user_15787,2023-11-15,2023-12-14,basic
user_15327,2023-11-05,2023-12-04,basic
user_13767,2024-01-01,2024-01-30,basic
user_2213,2023-12-03,2024-01-01,basic
user_23344,2023-06-28,2023-07-27,basic
user_28726,2023-12-25,2024-01-23,premium
user_18906,2023-11-11,2023-12-10,premium
user_6629,2023-07-24,2023-08-22,pro
user_14861,2023-08-07,2023-09-05,pro
user_14165,2023-11-17,2023-12-16,premium
user_11143,2023-05-01,2023-05-30,pro
user_23216,2023-09-03,2023-10-02,pro
